Sample,FullPath,Label,Malware_Class,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,ImageBase,SectionAlignment,SizeOfHeaders,Machine,Magic,Num_Sections,Non_Standard_Sections,Size_Mismatch_Count,Avg_Entropy,Packed,Total_VirtualSize,Total_RawSize,Num_Imported_DLLs,Num_Imported_APIs,has_msvcpl40.dll,has_user32.dll,has_vcruntime140.dll,has_oleaut32.dll,has_kernel.dll,has_mscore.dll,has_advapi.dll,has_WriteFile,has_CreateProcessW,has_CreateDirectory,has_sleep,has_GetProcAddress,has_CreatePopupMenu,has_CloseClipboard,has_LoadLibraryA,has_GetModuleHandleA
InstallBC201401.exe,C:\samples\malware\Artemis\InstallBC201401.exe,malware,Artemis,8,0,7680,13362176,0,5269,4096,4194304,4096,1024,332,267,7,2,6,4.958,1,13369679,13369856,3,41,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Backdoor.MSIL.Tyupkin.a.ViR,C:\samples\malware\Backdoor.MSIL.Tyupkin\Backdoor.MSIL.Tyupkin.a.ViR,malware,Backdoor.MSIL.Tyupkin,8,0,32768,81920,0,32752,4096,4194304,4096,4096,332,267,5,0,5,3.456,0,109837,114688,10,115,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Backdoor.MSIL.Tyupkin.c.ViR,C:\samples\malware\Backdoor.MSIL.Tyupkin\Backdoor.MSIL.Tyupkin.c.ViR,malware,Backdoor.MSIL.Tyupkin,8,0,32768,81920,0,33216,4096,4194304,4096,4096,332,267,5,0,5,3.487,0,112183,114688,10,117,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Backdoor.Win32.Tyupkin.c2.ViR,C:\samples\malware\Backdoor.MSIL.Tyupkin\Backdoor.Win32.Tyupkin.c2.ViR,malware,Backdoor.MSIL.Tyupkin,8,0,32768,86016,0,33456,4096,4194304,4096,4096,332,267,5,0,5,3.471,0,113671,118784,10,121,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Backdoor.Win32.Tyupkin.d.ViR,C:\samples\malware\Backdoor.MSIL.Tyupkin\Backdoor.Win32.Tyupkin.d.ViR,malware,Backdoor.MSIL.Tyupkin,8,0,143360,40960,0,40203,4096,4194304,4096,4096,332,267,4,0,4,4.425,0,185705,184320,7,131,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
Backdoor.Win32.Tyupkin.h.exe.ViR,C:\samples\malware\Backdoor.MSIL.Tyupkin\Backdoor.Win32.Tyupkin.h.exe.ViR,malware,Backdoor.MSIL.Tyupkin,8,0,32768,86016,0,33648,4096,4194304,4096,4096,332,267,5,0,5,3.469,0,113443,118784,10,118,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rootkit.ex1,C:\samples\malware\BlackEnergy2.1\rootkit.ex1,malware,BlackEnergy2.1,1,67,0,0,0,0,0,4194304,4096,1024,332,267,4,4,4,5.896,1,74468,75264,3,46,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
19e818d0da361c4feedd456fca63d68d4b024fbbd3d9265f606076c7ee72e8f8.ViR,C:\samples\malware\Careto_Feb2014\19e818d0da361c4feedd456fca63d68d4b024fbbd3d9265f606076c7ee72e8f8.ViR,malware,Careto_Feb2014,8,0,24576,241664,0,12964,4096,4194304,4096,4096,332,267,5,1,5,4.692,1,326008,335872,3,43,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
jpeg1x32.dll_C2BA81C0DE01038A54703DE26B18E9EE,C:\samples\malware\Careto_Feb2014\jpeg1x32.dll_C2BA81C0DE01038A54703DE26B18E9EE,malware,Careto_Feb2014,7,10,27136,8192,0,13327,4096,2030043136,4096,1024,332,267,4,0,4,4.077,0,33973,30720,5,76,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
shmgr.dll_AD6590E0DF575228911852B1E401D46E,C:\samples\malware\Careto_Feb2014\shmgr.dll_AD6590E0DF575228911852B1E401D46E,malware,Careto_Feb2014,8,0,22016,138240,0,9316,4096,6442450944,4096,1024,34404,523,5,0,5,4.325,1,158666,160256,3,70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
___2A6E.tmp,C:\samples\malware\Careto_Feb2014\___2A6E.tmp,malware,Careto_Feb2014,8,0,5120,2048,0,5647,4096,16777216,4096,1024,332,267,2,0,2,5.792,0,6326,6144,2,36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
{71257279-042b-371d-a1d3-fbf8d2fadffa}.exe,C:\samples\malware\CryptoLocker_10Sep2013\{71257279-042b-371d-a1d3-fbf8d2fadffa}.exe,malware,CryptoLocker_10Sep2013,11,0,64512,284160,0,7680,4096,4194304,4096,1024,332,267,5,0,5,5.234,1,347728,345088,14,256,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0
Vcffipzmnipbxzdl.exe,C:\samples\malware\CryptoLocker_20Nov2013\Vcffipzmnipbxzdl.exe,malware,CryptoLocker_20Nov2013,8,0,313344,858112,0,251782,4096,4194304,4096,1024,332,267,4,0,4,6.637,0,1170799,845824,7,242,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1
1002.exe,C:\samples\malware\CryptoLocker_22Jan2014\1002.exe,malware,CryptoLocker_22Jan2014,8,0,253440,3072,0,261598,8192,4194304,8192,512,332,267,3,0,2,3.8,0,255984,256512,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003.exe,C:\samples\malware\CryptoLocker_22Jan2014\1003.exe,malware,CryptoLocker_22Jan2014,8,0,257536,3072,0,265614,8192,4194304,8192,512,332,267,3,0,2,3.848,1,260000,260608,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52fe506928b0262f10de31e783af8540b6a0b232b15749d647847488acd0e17a,C:\samples\malware\Duqu2\Cores\52fe506928b0262f10de31e783af8540b6a0b232b15749d647847488acd0e17a,malware,Cores,12,0,184832,90112,0,6889,4096,268435456,4096,1024,332,267,4,0,4,5.706,0,273413,258560,4,58,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
81cdbe905392155a1ba8b687a02e65d611b60aac938e470a76ef518e8cffd74d,C:\samples\malware\Duqu2\Cores\81cdbe905392155a1ba8b687a02e65d611b60aac938e470a76ef518e8cffd74d,malware,Cores,12,0,202240,93696,0,6873,4096,268435456,4096,1024,332,267,4,0,4,5.688,0,294526,279552,4,62,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
bc4ae56434b45818f57724f4cd19354a13e5964fd097d1933a30e2e31c9bdfa5.bin,C:\samples\malware\Duqu2\Driver\bc4ae56434b45818f57724f4cd19354a13e5964fd097d1933a30e2e31c9bdfa5.bin,malware,Driver,9,0,14336,3072,0,29476,4096,65536,4096,1024,34404,523,6,1,6,3.521,0,16364,17408,2,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2796a119171328e91648a73d95eb297edc220e8768f4bbba5fb7237122a988fc,C:\samples\malware\Duqu2\IOC\2796a119171328e91648a73d95eb297edc220e8768f4bbba5fb7237122a988fc,malware,IOC,12,0,8192,4608,0,11897,4096,268435456,4096,1024,332,267,5,0,5,3.713,0,11023,12288,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2a9a5afc342cde12c6eb9a91ad29f7afdfd8f0fb17b983dcfddceccfbc17af69,C:\samples\malware\Duqu2\IOC\2a9a5afc342cde12c6eb9a91ad29f7afdfd8f0fb17b983dcfddceccfbc17af69,malware,IOC,12,0,12800,3584,0,4884,4096,6442450944,4096,1024,34404,523,5,0,5,2.607,0,14702,15872,3,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2c9c3ddd4d93e687eb095444cef7668b21636b364bff55de953bdd1df40071da,C:\samples\malware\Duqu2\IOC\2c9c3ddd4d93e687eb095444cef7668b21636b364bff55de953bdd1df40071da,malware,IOC,12,0,10752,6656,0,5979,4096,268435456,4096,1024,332,267,4,0,4,5.349,0,16264,16384,3,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2ecb26021d21fcef3d8bba63de0c888499110a2b78e4caa6fa07a2b27d87f71b,C:\samples\malware\Duqu2\IOC\2ecb26021d21fcef3d8bba63de0c888499110a2b78e4caa6fa07a2b27d87f71b,malware,IOC,12,0,10752,6656,0,5979,4096,268435456,4096,1024,332,267,4,0,4,5.349,0,16264,16384,3,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
3536df7379660d931256b3cf49be810c0d931c3957c464d75e4cba78ba3b92e3,C:\samples\malware\Duqu2\IOC\3536df7379660d931256b3cf49be810c0d931c3957c464d75e4cba78ba3b92e3,malware,IOC,12,0,7168,12800,0,10932,4096,268435456,4096,1024,332,267,5,0,5,3.929,0,18492,11264,3,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5559fcc93eef38a1c22db66a3e0f9e9f026c99e741cc8b1a4980d166f2696188,C:\samples\malware\Duqu2\IOC\5559fcc93eef38a1c22db66a3e0f9e9f026c99e741cc8b1a4980d166f2696188,malware,IOC,12,0,12288,5632,0,4824,4096,6442450944,4096,1024,34404,523,5,0,5,2.969,0,15883,17408,4,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ba187106567e8d036edd5ddb6763f89774c158d2a571e15d76572d8604c22a0,C:\samples\malware\Duqu2\IOC\5ba187106567e8d036edd5ddb6763f89774c158d2a571e15d76572d8604c22a0,malware,IOC,12,0,10752,6656,0,5979,4096,268435456,4096,1024,332,267,4,0,4,5.402,0,16264,16384,3,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
6217cebf11a76c888cc6ae94f54597a877462ed70da49a88589a9197173cc072,C:\samples\malware\Duqu2\IOC\6217cebf11a76c888cc6ae94f54597a877462ed70da49a88589a9197173cc072,malware,IOC,12,0,17920,8192,0,5160,4096,6442450944,4096,1024,34404,523,5,0,5,4.027,0,24736,24064,3,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
6b146e3a59025d7085127b552494e8aaf76450a19c249bfed0b4c09f328e564f,C:\samples\malware\Duqu2\IOC\6b146e3a59025d7085127b552494e8aaf76450a19c249bfed0b4c09f328e564f,malware,IOC,12,0,8192,5120,0,11987,4096,268435456,4096,1024,332,267,5,0,5,3.455,0,11522,13312,4,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6c803aac51038ce308ee085f2cd82a055aaa9ba24d08a19efb2c0fcfde936c34,C:\samples\malware\Duqu2\IOC\6c803aac51038ce308ee085f2cd82a055aaa9ba24d08a19efb2c0fcfde936c34,malware,IOC,12,0,10240,6656,0,5979,4096,268435456,4096,1024,332,267,4,0,4,5.297,0,16058,15872,3,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
6de1bb58ae3c37876c6372208366f5548fcc647ffd19ad1d31cebd9069b8a559,C:\samples\malware\Duqu2\IOC\6de1bb58ae3c37876c6372208366f5548fcc647ffd19ad1d31cebd9069b8a559,malware,IOC,12,0,17920,8192,0,5160,4096,6442450944,4096,1024,34404,523,5,0,5,4.294,0,24736,24064,3,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
6e09e1a4f56ea736ff21ad5e188845615b57e1a5168f4bdaebe7ddc634912de9,C:\samples\malware\Duqu2\IOC\6e09e1a4f56ea736ff21ad5e188845615b57e1a5168f4bdaebe7ddc634912de9,malware,IOC,12,0,10752,6656,0,5979,4096,268435456,4096,1024,332,267,4,0,4,5.35,0,16264,16384,3,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
8e97c371633d285cd8fc842f4582705052a9409149ee67d97de545030787a192,C:\samples\malware\Duqu2\IOC\8e97c371633d285cd8fc842f4582705052a9409149ee67d97de545030787a192,malware,IOC,12,0,12288,5120,0,5096,4096,6442450944,4096,1024,34404,523,5,0,5,2.949,0,15358,16896,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9900c91f6d754f15f73729ce5a4333a718463e24aa7e6192c7527ec5c80dac42,C:\samples\malware\Duqu2\IOC\9900c91f6d754f15f73729ce5a4333a718463e24aa7e6192c7527ec5c80dac42,malware,IOC,12,0,17408,8192,0,5160,4096,6442450944,4096,1024,34404,523,5,0,5,3.98,0,24306,23552,3,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
c16410c49dc40a371be22773f420b7dd3cfd4d8205cf39909ad9a6f26f55718e,C:\samples\malware\Duqu2\IOC\c16410c49dc40a371be22773f420b7dd3cfd4d8205cf39909ad9a6f26f55718e,malware,IOC,12,0,10752,6656,0,5979,4096,268435456,4096,1024,332,267,4,0,4,5.349,0,16264,16384,3,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
d12cd9490fd75e192ea053a05e869ed2f3f9748bf1563e6e496e7153fb4e6c98,C:\samples\malware\Duqu2\IOC\d12cd9490fd75e192ea053a05e869ed2f3f9748bf1563e6e496e7153fb4e6c98,malware,IOC,12,0,10752,6656,0,5979,4096,268435456,4096,1024,332,267,4,0,4,5.35,0,16264,16384,3,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
d5c57788cf12b020c4083eb228911260b744a2a67c88662c9bab8faebca98fa2,C:\samples\malware\Duqu2\IOC\d5c57788cf12b020c4083eb228911260b744a2a67c88662c9bab8faebca98fa2,malware,IOC,12,0,17920,8192,0,5160,4096,6442450944,4096,1024,34404,523,5,0,5,4.027,0,24736,24064,3,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
d8a849654ab97debaf28ae5b749c3b1ff1812ea49978713853333db48c3972c3,C:\samples\malware\Duqu2\IOC\d8a849654ab97debaf28ae5b749c3b1ff1812ea49978713853333db48c3972c3,malware,IOC,12,0,10240,12800,0,8312,4096,6442450944,4096,1024,34404,523,5,0,5,2.983,0,21850,13824,3,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e83c6c36dbd143ee0fd36aff30fb43529a34129817dc2530f251121527cbf4b4,C:\samples\malware\Duqu2\IOC\e83c6c36dbd143ee0fd36aff30fb43529a34129817dc2530f251121527cbf4b4,malware,IOC,12,0,17920,8192,0,5160,4096,6442450944,4096,1024,34404,523,5,0,5,4.027,0,24736,24064,3,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
dump1.exe,C:\samples\malware\Dyre\Dump\dump1.exe,malware,Dump,10,0,6144,268800,0,9072,4096,4194304,4096,512,332,267,4,0,4,4.324,0,281776,273387,5,49,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
999bc5e16312db6abff5f6c9e54c546f.bin,C:\samples\malware\Dyre\Original\999bc5e16312db6abff5f6c9e54c546f.bin,malware,Original,9,0,369152,220672,0,314268,4096,4194304,4096,1024,332,267,4,0,4,6.07,0,588456,585728,4,67,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
b44634d90a9ff2ed8a9d0304c11bf612.bin,C:\samples\malware\Dyre\Original\b44634d90a9ff2ed8a9d0304c11bf612.bin,malware,Original,6,0,20480,471040,0,5852,4096,4194304,4096,4096,332,267,4,0,4,4.797,1,487637,487424,5,56,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
chqpl.file,C:\samples\malware\Dyre\Original\chqpl.file,malware,Original,7,1,210944,51200,0,212140,4096,4194304,4096,1024,332,267,4,0,4,5.428,0,261210,260096,4,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dd207384b31d118745ebc83203a4b04a.bin,C:\samples\malware\Dyre\Original\dd207384b31d118745ebc83203a4b04a.bin,malware,Original,6,0,289280,261120,0,280047,4096,4194304,4096,1024,332,267,3,0,3,6.358,0,549897,550400,3,59,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Document-772976_829712.scr,C:\samples\malware\Dyre\Original\Document-772976_829712.scr,malware,Original,7,0,175104,70656,0,4218,4096,4194304,4096,1024,332,267,4,0,4,5.918,0,245064,245760,4,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fax_390392029_072514.exe,C:\samples\malware\Dyre\Original\fax_390392029_072514.exe,malware,Original,6,0,254976,28672,0,257184,4096,4194304,4096,1024,332,267,4,0,4,5.36,0,282371,282112,4,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
loader_9b313e9c79921b22b488a11344b280d4cec9dd09c2201f9e5aaf08a115650b25,C:\samples\malware\Dyre\Original\loader_9b313e9c79921b22b488a11344b280d4cec9dd09c2201f9e5aaf08a115650b25,malware,Original,1,71,316928,2560,0,8192,4096,4194304,4096,1024,332,267,6,2,6,2.814,1,318883,319488,3,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
payload_f8eccfebda8a1e0caabbe23a8b94d7ced980353a9b3673a4173e24958a3bdbb9,C:\samples\malware\Dyre\Original\payload_f8eccfebda8a1e0caabbe23a8b94d7ced980353a9b3673a4173e24958a3bdbb9,malware,Original,10,0,52736,72704,0,47917,4096,268435456,4096,1024,332,267,5,0,5,5.111,1,134072,125440,10,166,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Dyre_Unpacked.file,C:\samples\malware\Dyre\Unpacked\Dyre_Unpacked.file,malware,Unpacked,10,0,6144,259584,0,9072,4096,4194304,4096,1024,332,267,5,0,5,4.014,0,264574,265728,5,49,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
01b09cb97a58ea0f9bf2b98b38b83f0cfc9f97f39f7bfd73a990c9b00bcdb66c,C:\samples\malware\EarthKrahang_20240404\Win32.EarthKrahang_20240404\01b09cb97a58ea0f9bf2b98b38b83f0cfc9f97f39f7bfd73a990c9b00bcdb66c,malware,Win32.EarthKrahang_20240404,10,0,289792,129024,0,171812,4096,6442450944,4096,1024,34404,523,8,2,8,5.167,0,428259,418816,6,192,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
05b63707ca3cad54085e521aee84c7472ff7b3fe05e22fd65c8e2ee6f36c6243,C:\samples\malware\EarthKrahang_20240404\Win32.EarthKrahang_20240404\05b63707ca3cad54085e521aee84c7472ff7b3fe05e22fd65c8e2ee6f36c6243,malware,Win32.EarthKrahang_20240404,10,0,294400,130048,0,176100,4096,6442450944,4096,1024,34404,523,8,2,8,5.172,0,433781,424448,6,194,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
0ff80e4db32d1d45a0c2afdfd7a1be961c0fbd9d43613a22a989f9024cc1b1e9,C:\samples\malware\EarthKrahang_20240404\Win32.EarthKrahang_20240404\0ff80e4db32d1d45a0c2afdfd7a1be961c0fbd9d43613a22a989f9024cc1b1e9,malware,Win32.EarthKrahang_20240404,9,0,81920,17408,0,61939,4096,268435456,4096,1024,332,267,5,0,5,4.983,0,101008,99328,1,59,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
10b2a7c9329b232e4eef81bac6ba26323e3683ac1f8a99d3a9f8965da5036b6f,C:\samples\malware\EarthKrahang_20240404\Win32.EarthKrahang_20240404\10b2a7c9329b232e4eef81bac6ba26323e3683ac1f8a99d3a9f8965da5036b6f,malware,Win32.EarthKrahang_20240404,10,0,289280,97280,0,210292,4096,6442450944,4096,1024,34404,523,6,0,6,4.486,0,395216,386560,8,195,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
18f4f14857e9b7e3aa1f6f21f21396abd5f421342b7f4d00402a4aff5a538fa1,C:\samples\malware\EarthKrahang_20240404\Win32.EarthKrahang_20240404\18f4f14857e9b7e3aa1f6f21f21396abd5f421342b7f4d00402a4aff5a538fa1,malware,Win32.EarthKrahang_20240404,10,0,244224,54784,0,153362,4096,4194304,4096,1024,332,267,5,0,5,5.009,0,306258,299008,6,156,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
1d3d460b22f70cc26252673e12dfd85da988f69046d6b94602576270df590b2c,C:\samples\malware\EarthKrahang_20240404\Win32.EarthKrahang_20240404\1d3d460b22f70cc26252673e12dfd85da988f69046d6b94602576270df590b2c,malware,Win32.EarthKrahang_20240404,11,0,17408,2048,0,25310,8192,4194304,8192,512,332,267,3,0,3,3.664,0,18568,19456,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1e278cfe8098f3badedd5e497f36753d46d96d81edd1c5bee4fc7bc6380c26b3,C:\samples\malware\EarthKrahang_20240404\Win32.EarthKrahang_20240404\1e278cfe8098f3badedd5e497f36753d46d96d81edd1c5bee4fc7bc6380c26b3,malware,Win32.EarthKrahang_20240404,10,0,299008,99840,0,219508,4096,6442450944,4096,1024,34404,523,6,0,6,4.467,0,407088,398848,8,198,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
241737842eb17676b3603e2f076336b7bc6304accef3057401264affb963bef8,C:\samples\malware\EarthKrahang_20240404\Win32.EarthKrahang_20240404\241737842eb17676b3603e2f076336b7bc6304accef3057401264affb963bef8,malware,Win32.EarthKrahang_20240404,10,0,160768,66560,0,78920,4096,6442450944,4096,1024,34404,523,6,0,6,4.661,0,236650,227328,6,165,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
2e3645c8441f2be4182869db5ae320da00c513e0cb643142c70a833f529f28aa,C:\samples\malware\EarthKrahang_20240404\Win32.EarthKrahang_20240404\2e3645c8441f2be4182869db5ae320da00c513e0cb643142c70a833f529f28aa,malware,Win32.EarthKrahang_20240404,10,0,38400,28160,0,15189,4096,4194304,4096,1024,332,267,5,0,5,4.948,0,73597,66560,2,99,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
2e850cb2a1d06d2665601cefd88802ff99905de8bc4ea348ea051d4886e780ee,C:\samples\malware\EarthKrahang_20240404\Win32.EarthKrahang_20240404\2e850cb2a1d06d2665601cefd88802ff99905de8bc4ea348ea051d4886e780ee,malware,Win32.EarthKrahang_20240404,10,0,75264,37888,0,33188,4096,5368709120,4096,1024,34404,523,6,0,6,4.382,0,125930,113152,3,119,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
35f16e469047cf4ef78f87a616d26ec09e3d6a3d7a51415ea34805549a41dcfa,C:\samples\malware\EarthKrahang_20240404\Win32.EarthKrahang_20240404\35f16e469047cf4ef78f87a616d26ec09e3d6a3d7a51415ea34805549a41dcfa,malware,Win32.EarthKrahang_20240404,10,0,289280,97280,0,210292,4096,6442450944,4096,1024,34404,523,6,0,6,4.486,0,395200,386560,8,195,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
3f0aa01ed70bc2ab29557521a65476ec2ff2c867315067cc8a5937d63bcbe815,C:\samples\malware\EarthKrahang_20240404\Win32.EarthKrahang_20240404\3f0aa01ed70bc2ab29557521a65476ec2ff2c867315067cc8a5937d63bcbe815,malware,Win32.EarthKrahang_20240404,10,0,262656,57856,0,166705,4096,4194304,4096,1024,332,267,5,0,5,5.029,0,328072,320512,6,175,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0
4529f3751102e7c0a6ec05c6a987d0cc5edc08f75f287dd6ac189abbd1282014,C:\samples\malware\EarthKrahang_20240404\Win32.EarthKrahang_20240404\4529f3751102e7c0a6ec05c6a987d0cc5edc08f75f287dd6ac189abbd1282014,malware,Win32.EarthKrahang_20240404,9,0,82432,17408,0,61306,4096,268435456,4096,1024,332,267,5,0,5,5.0,0,101260,99840,1,60,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
484578b6e7e427a151c309bdc00c90b1c0faf25a8581cace55e2c25ec34056e0,C:\samples\malware\EarthKrahang_20240404\Win32.EarthKrahang_20240404\484578b6e7e427a151c309bdc00c90b1c0faf25a8581cace55e2c25ec34056e0,malware,Win32.EarthKrahang_20240404,10,0,147968,2248192,0,73971,4096,268435456,4096,1024,332,267,5,0,5,5.472,1,2403559,2396160,1,73,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
